py,APPROACHES_FROM_100_125_YARDS,APPROACHES_FROM_100_125_YARDS_RGH,APPROACHES_FROM_125_150_YARDS,APPROACHES_FROM_125_150_YARDS_RGH,APPROACHES_FROM_150_175_YARDS,APPROACHES_FROM_150_175_YARDS_RGH,APPROACHES_FROM_175_200_YARDS,APPROACHES_FROM_175_200_YARDS_RGH,APPROACHES_FROM_200_225_YARDS,APPROACHES_FROM_200_225_YARDS_RGH,APPROACHES_FROM_225_250_YARDS,APPROACHES_FROM_225_250_YARDS_RGH,APPROACHES_FROM_250_275_YARDS,APPROACHES_FROM_250_275_YARDS_RGH,APPROACHES_FROM_INSIDE_100_YARDS,APPROACHES_FROM_INSIDE_100_YARDS_RGH,BIRDIE_AVE,BIRDIE_OR_BETTER_CONVESION_PERCENTAGE,BIRDIE_OR_BETTER_PERCENTAGE,BIRDIE_OR_BETTER_PERCENTAGE_FAIRWAY,BIRDIE_OR_BETTER_PERCENTAGE_ROUGH,BOUNCE_BACK,CLUB_HEAD_SPEED,DRIVING_ACCURACY_PERCENTAGE,DRIVING_DISTANCE,EAGLES_HOLES_PER,FAIRWAY_PROXIMITY,FEDEX_REGULAR_SEASON_POINTS,FINAL_ROUND_PERFORMANCE,GREENS_IN_REGULATION_PERCENTAGE,PAR_3_SCORING_AVERAGE,PAR_4_SCORING_AVERAGE,PAR_5_SCORING_AVERAGE,PUTTING_FROM_10_15ft,PUTTING_FROM_15_20ft,PUTTING_FROM_20_25ft,PUTTING_FROM_25ft_plus,PUTTING_INSIDE_10ft,PUTTS_PER_ROUND,ROUGH_PROXIMITY,SAND_SAVE_PERCENTAGE,PLAYER,SEASON_CURRENT,PERCENTAGE_OF_WINNING_PTS,SEASON_NEXT,NEXT_PERCENTAGE_OF_WINNING_PTS
2012_Martin Flores,255,407,304,419,394,458,437,588,505,721,540,886,1003,1124,188,353,3.51,28.46,19.77,21.88,14.93,17.94,118.91,53.58,295.0,342.0,396,556,64.71,63.98,3.08,4.05,4.67,38.05,23.5,19.2,5.66,88.49,28.71,514,60.15,Martin Flores,2012,0.24504186866460997,2013,0.18045112781954886
2012_Martin Laird,305,375,286,474,373,513,425,569,498,867,666,833,819,936,169,304,3.7,30.92,20.85,25.51,12.44,23.45,117.74,59.16,298.2,328.5,404,976,53.33,65.3,3.05,4.09,4.67,35.42,17.17,6.67,4.94,86.35,29.52,536,43.24,Martin Laird,2012,0.4301454385191714,2013,0.2644655116050997
2012_Matt Jones,273,388,281,557,374,622,396,606,452,944,677,672,866,1129,227,273,3.19,26.54,18.24,19.12,11.86,24.14,116.45,55.49,293.7,190.8,388,143,25.0,64.74,3.07,4.07,4.69,32.5,23.38,10.0,5.21,86.29,29.41,584,52.38,Matt Jones,2012,0.06302335830762451,2013,0.2732919254658385
2012_Matt Kuchar,273,394,258,441,307,516,388,678,457,717,584,872,833,1323,177,294,3.62,29.53,20.46,23.4,12.11,20.1,108.13,65.06,286.2,295.2,360,1600,40.0,65.38,3.03,4.0,4.67,37.04,16.06,15.65,6.27,88.73,28.51,541,60.14,Matt Kuchar,2012,0.7051564565888057,2013,0.7495913697286695
2012_Michael Bradley,244,333,263,416,334,534,412,627,479,799,706,1116,876,937,181,337,3.17,24.71,18.08,18.58,11.38,13.57,114.05,51.88,284.5,226.8,379,173,50.0,65.35,3.06,4.09,4.78,28.76,12.63,7.87,8.89,85.82,29.78,541,46.99,Michael Bradley,2012,0.07624504186866461,2013,0.02419091206276561
2012_Michael Thompson,260,336,286,437,357,467,423,694,408,840,588,872,643,960,241,320,3.48,29.97,19.79,21.49,14.59,18.6,111.63,59.43,283.4,205.7,375,634,73.33,63.26,3.06,4.11,4.63,29.63,22.95,9.89,7.94,87.08,29.0,532,53.45,Michael Thompson,2012,0.2794182459233142,2013,0.2706766917293233
2012_Nick Watney,221,375,254,394,323,547,388,595,467,800,622,601,834,972,194,297,3.6,30.15,20.8,23.81,14.73,19.3,118.69,58.86,296.8,120.9,368,726,54.55,66.43,3.08,4.06,4.62,34.15,17.2,5.98,7.65,86.11,29.29,529,47.22,Nick Watney,2012,0.3199647421771706,2013,0.2167374959136973
2012_Padraig Harrington,198,383,282,372,351,442,381,680,521,809,703,906,742,596,160,242,3.51,30.16,20.02,23.84,12.14,21.43,114.92,59.86,293.6,189.0,380,646,40.0,62.17,3.03,4.06,4.61,29.73,18.07,10.81,6.59,86.66,28.41,514,59.41,Padraig Harrington,2012,0.2847069193477303,2013,0.11278195488721804
2012_Pat Perez,246,335,269,413,352,500,386,694,509,708,637,1031,768,1126,195,370,3.77,30.95,21.24,23.28,13.98,22.38,115.4,62.33,291.5,355.5,386,603,38.89,65.05,3.07,4.03,4.61,28.44,15.08,12.66,6.45,88.58,28.72,555,50.76,Pat Perez,2012,0.2657558395769061,2013,0.17783589408303366
2012_Phil Mickelson,239,333,295,351,342,545,395,627,489,674,632,808,614,1172,190,285,3.95,33.48,22.36,25.27,18.8,21.05,116.81,54.31,294.4,237.0,389,1373,61.11,64.14,3.03,4.04,4.59,29.27,20.0,15.0,8.59,88.3,28.49,529,55.07,Phil Mickelson,2012,0.6051123843102688,2013,0.7080745341614907
2012_Richard Lee,254,347,264,493,340,580,393,627,506,936,548,908,892,996,186,268,3.69,29.54,20.56,22.28,9.47,23.91,109.78,68.72,285.6,1206.0,381,262,45.45,68.29,2.97,4.06,4.65,32.14,22.73,7.62,3.59,88.57,29.37,575,43.18,Richard Lee,2012,0.11546936976641692,2013,0.18470088264138607
2012_Rickie Fowler,212,416,269,430,325,498,397,719,495,824,573,1032,784,691,176,297,3.52,29.72,20.08,23.09,14.42,20.48,115.64,64.43,293.2,186.8,371,1246,68.42,64.99,3.05,4.1,4.61,26.01,12.4,7.14,7.87,87.1,29.17,562,48.63,Rickie Fowler,2012,0.5491405905685324,2013,0.2687152664269369
2012_Ricky Barnes,233,342,273,374,325,487,405,517,486,658,654,797,810,1183,196,371,3.49,27.93,19.7,22.58,12.5,19.34,116.05,58.1,292.0,316.8,371,489,61.11,67.36,3.08,4.09,4.69,26.84,17.2,11.59,5.77,85.4,29.8,505,43.8,Ricky Barnes,2012,0.21551344204495373,2013,0.11180124223602485
2012_Robert Allenby,265,406,266,452,305,459,390,582,445,763,638,413,837,946,209,339,3.22,25.72,18.06,20.19,11.52,17.72,111.62,59.34,286.7,684.0,372,417,70.0,65.79,3.05,4.11,4.81,30.85,15.11,12.77,6.29,85.28,29.91,498,42.98,Robert Allenby,2012,0.18378140149845748,2013,0.042170644001307614
2012_Robert Garrigus,207,329,250,404,333,497,360,628,411,818,549,924,701,1095,229,311,3.97,31.71,22.91,25.08,16.83,26.64,121.37,56.58,310.3,114.4,338,1155,73.68,69.23,3.08,4.03,4.57,33.79,15.19,10.81,6.56,85.39,29.56,535,44.52,Robert Garrigus,2012,0.5090348171000441,2013,0.19646943445570447
2012_Robert Karlsson,245,387,248,498,312,632,434,788,468,572,554,855,863,700,193,282,3.73,32.09,20.94,25.1,15.38,24.04,116.92,55.22,294.7,468.0,366,239,60.0,63.25,3.11,4.13,4.64,24.79,23.53,2.08,6.0,85.77,29.27,586,51.58,Robert Karlsson,2012,0.10533274570295284,2013,0.07714939522719844
2012_Roberto Castro,227,345,284,478,351,590,419,729,450,702,655,968,853,751,199,309,3.46,27.3,19.63,21.46,12.0,19.42,112.83,65.36,290.6,231.4,379,477,63.16,68.41,3.04,4.03,4.64,28.57,16.56,9.68,5.37,88.16,29.62,556,55.0,Roberto Castro,2012,0.21022476862053768,2013,0.2690421706440013
2012_Rory McIlroy,217,413,238,386,325,542,363,511,409,762,560,882,655,807,212,308,4.2,34.68,24.28,29.39,17.8,21.23,120.21,56.61,310.1,108.0,338,2092,66.67,66.36,2.99,4.02,4.49,31.9,21.33,15.38,2.44,88.36,28.72,501,56.16,Rory McIlroy,2012,0.9219920669898634,2013,0.2540045766590389
2012_Rory Sabbatini,238,343,260,418,321,574,394,574,452,856,665,1060,854,936,185,271,3.52,30.46,19.91,23.45,13.52,17.97,112.2,61.04,287.4,302.4,372,602,58.33,62.24,3.12,4.07,4.69,28.44,18.49,9.47,6.15,85.79,28.81,534,48.99,Rory Sabbatini,2012,0.26531511679153813,2013,0.18077803203661327
2012_Ryan Moore,241,384,267,490,300,563,398,529,453,928,572,893,824,1086,243,363,3.9,32.08,22.28,23.58,14.79,20.23,111.51,65.75,287.6,160.2,364,635,60.0,66.35,3.06,4.0,4.73,32.88,26.42,16.0,4.04,87.89,28.87,564,52.74,Ryan Moore,2012,0.27985896870868227,2013,0.2134684537430533
2012_Ryan Palmer,243,421,265,376,352,521,393,672,482,858,608,1052,851,752,198,380,3.94,32.11,21.95,25.84,12.01,24.57,116.17,57.95,303.1,1458.0,363,745,31.25,65.16,2.99,4.05,4.67,36.82,14.07,14.14,5.67,87.95,28.74,549,47.02,Ryan Palmer,2012,0.32833847509916264,2013,0.2618502778685845
2012_Sangmoon Bae,227,323,269,405,362,565,409,750,551,983,661,997,647,888,271,375,3.64,32.37,20.56,22.11,16.87,21.25,114.12,58.08,289.8,277.2,394,604,40.0,59.81,3.13,4.13,4.72,36.73,22.31,9.89,4.62,87.15,28.77,598,45.33,Sangmoon Bae,2012,0.2661965623622741,2013,0.2739457338999673
2012_Scott Brown,232,349,259,398,340,465,429,767,497,702,562,820,879,979,218,235,3.49,28.95,20.11,22.27,13.14,16.67,112.59,60.22,291.2,141.8,381,212,100.0,64.5,3.12,4.1,4.65,28.68,16.38,11.58,5.53,85.42,29.8,512,40.45,Scott Brown,2012,0.09343323049801674,2013,0.19221967963386727
2012_Scott Piercy,250,351,277,399,319,490,379,534,501,737,652,947,775,935,206,370,3.85,32.2,22.22,24.29,16.38,22.1,117.59,56.06,304.5,122.1,371,1304,57.89,65.73,3.09,4.02,4.62,26.46,24.86,17.88,4.79,87.89,28.74,513,48.92,Scott Piercy,2012,0.5747025121198766,2013,0.25269695979078133
2012_Scott Stallings,236,399,288,446,353,507,407,680,514,840,565,799,602,847,207,317,3.38,28.16,19.52,20.51,15.88,17.32,118.96,58.1,302.4,140.4,370,554,66.67,66.38,3.14,4.08,4.62,27.23,20.14,6.67,4.58,85.71,29.77,513,38.94,Scott Stallings,2012,0.24416042309387395,2013,0.26675384112455053
2012_Sean O'Hair,240,394,284,509,334,554,411,684,468,750,608,713,727,792,209,342,3.7,29.45,21.16,22.56,16.9,22.65,116.43,59.98,297.5,168.0,373,644,47.37,68.25,3.01,4.07,4.61,27.08,16.22,13.76,6.52,85.48,29.67,555,44.93,Sean O'Hair,2012,0.2838254737769943,2013,0.059823471722785224
2012_Sergio Garcia,222,357,298,449,318,540,381,669,554,713,593,859,686,859,182,327,3.64,29.56,20.83,23.79,19.39,19.46,119.13,61.15,292.4,168.0,397,935,61.54,64.98,3.06,4.08,4.54,30.95,19.77,1.56,8.02,88.69,28.66,569,56.36,Sergio Garcia,2012,0.4120758043190833,2013,0.2236024844720497
2012_Seung-Yul Noh,276,333,310,481,362,453,427,536,496,811,528,1012,672,796,202,316,3.53,28.53,20.3,20.54,18.29,19.71,118.35,59.34,300.4,151.5,386,827,62.5,67.41,3.05,4.04,4.62,28.78,13.94,9.76,6.79,88.8,29.28,514,48.25,Seung-Yul Noh,2012,0.3644777434993389,2013,0.07388035305655442
2012_Stewart Cink,233,360,314,463,354,512,411,578,466,832,581,767,686,810,202,208,3.07,25.87,17.58,20.15,14.88,15.18,115.94,53.43,288.8,201.0,379,310,50.0,64.26,3.13,4.11,4.74,38.03,14.29,20.73,4.83,87.55,29.7,545,44.92,Stewart Cink,2012,0.1366240634640811,2013,0.18568159529257927
2012_Stuart Appleby,257,343,307,362,355,543,433,649,491,790,670,1194,908,1252,191,313,3.23,27.09,18.23,18.84,11.63,16.49,112.32,65.45,283.3,319.5,392,287,38.46,64.79,3.08,4.06,4.63,37.37,18.85,8.51,3.37,88.02,29.08,527,54.31,Stuart Appleby,2012,0.12648743940061702,2013,0.12912716574043806
"2012_Ted Potter, Jr.",228,336,263,420,339,459,434,667,567,885,737,804,720,1200,201,210,3.23,27.08,18.18,19.43,12.33,17.48,109.76,64.18,284.5,462.0,394,647,23.08,63.32,3.17,4.08,4.76,31.06,23.21,9.28,5.78,86.94,29.33,544,41.8,"Ted Potter, Jr.",2012,0.2851476421330983,2013,0.16933638443935928
2012_Tiger Woods,233,270,270,508,297,564,361,559,431,854,578,946,641,1042,197,374,3.97,31.66,22.39,25.95,15.66,18.9,120.94,63.93,297.4,301.5,343,2269,53.33,67.58,3.02,3.99,4.56,30.99,17.89,19.72,6.6,88.07,28.91,583,49.0,Tiger Woods,2012,1.0,2013,1.0
2012_Tim Clark,210,451,235,427,328,533,393,627,506,653,598,889,941,689,188,338,3.03,25.87,17.41,20.17,10.07,14.71,104.37,71.6,276.7,180.0,360,707,54.55,64.26,3.13,4.04,4.74,24.85,16.3,11.24,8.2,87.08,29.33,523,54.35,Tim Clark,2012,0.3115910092551785,2013,0.22981366459627328
2012_Tim Herron,260,312,292,365,327,555,428,748,476,674,616,716,843,894,229,285,3.2,26.34,18.24,20.04,14.63,16.94,112.74,59.93,289.4,226.3,386,339,43.75,67.36,3.03,4.07,4.68,30.0,16.31,6.67,5.63,86.72,29.78,504,51.92,Tim Herron,2012,0.1494050242397532,2013,0.062111801242236024
2012_Tom Gillis,268,306,297,510,388,564,419,574,482,833,533,1004,671,1335,207,459,3.79,31.74,21.33,23.6,11.06,23.91,114.02,66.09,289.0,337.5,393,511,53.33,63.85,3.03,4.05,4.72,27.01,20.86,14.89,5.26,87.92,28.67,588,53.74,Tom Gillis,2012,0.22520934332304982,2013,0.08630271330500164
2012_Tommy Gainey,227,305,280,432,337,588,410,589,474,889,588,812,785,1126,204,303,3.52,30.78,20.07,21.48,14.21,17.48,112.91,55.63,297.2,196.0,369,464,37.5,62.3,3.14,4.06,4.77,32.69,22.56,19.57,5.96,86.45,28.91,529,49.46,Tommy Gainey,2012,0.20449537241075363,2013,0.10591696632886564
2012_Trevor Immelman,213,315,293,386,343,463,403,596,473,735,668,967,894,1138,224,330,3.13,26.76,17.54,21.05,10.71,18.07,118.16,59.7,290.9,684.0,388,411,53.85,63.45,3.08,4.11,4.76,25.53,20.0,10.99,5.43,86.52,29.59,507,50.0,Trevor Immelman,2012,0.18113706478624944,2013,0.09643674403399805
2012_Troy Matteson,280,397,289,459,333,490,428,616,467,870,652,706,677,886,202,358,3.3,27.41,18.76,20.54,14.55,20.33,116.52,52.67,298.9,220.5,389,662,76.47,64.01,3.04,4.1,4.71,33.73,15.43,13.54,4.9,87.85,29.39,539,45.75,Troy Matteson,2012,0.29175848391361836,2013,0.06341941811049362
2012_Vaughn Taylor,216,333,257,434,314,457,418,730,506,673,662,736,714,834,182,234,3.59,28.54,20.39,21.94,14.47,23.77,108.43,60.59,286.0,237.0,344,312,53.85,66.3,3.03,4.05,4.74,31.75,19.23,10.11,4.07,86.65,29.01,513,50.0,Vaughn Taylor,2012,0.1375055090348171,2013,0.08041843739784243
2012_Vijay Singh,202,441,260,414,317,464,399,511,515,619,593,735,743,847,196,365,3.6,29.47,20.59,23.11,12.29,20.79,113.75,61.62,295.4,162.0,375,669,52.17,66.22,3.12,4.02,4.64,29.67,17.81,11.9,4.86,85.27,29.41,492,50.9,Vijay Singh,2012,0.29484354341119434,2013,0.09512912716574044
2012_Webb Simpson,224,324,250,411,295,471,411,543,488,723,605,855,811,1224,166,304,4.11,32.72,23.25,24.73,24.32,21.94,113.34,61.47,288.6,228.0,376,1424,47.06,67.47,3.07,4.0,4.6,34.39,17.02,17.02,8.91,86.76,28.79,483,51.24,Webb Simpson,2012,0.627589246364037,2013,0.38836220987250736
2012_Will Claxton,232,331,268,413,323,550,399,646,523,666,638,922,744,1161,205,338,3.6,28.38,20.43,22.33,13.68,18.77,111.67,65.36,290.4,222.8,371,530,42.86,69.06,3.09,4.01,4.62,22.78,19.35,8.8,6.48,86.92,29.56,550,42.31,Will Claxton,2012,0.23358307624504188,2013,0.06080418437397842
2012_William McGirt,222,433,270,465,346,535,398,540,505,859,688,806,714,645,200,270,3.38,27.42,19.04,19.75,15.44,21.57,112.83,60.58,285.4,345.6,373,602,70.59,66.3,3.1,4.03,4.66,31.03,17.05,20.63,5.01,88.52,29.24,521,46.1,William McGirt,2012,0.26531511679153813,2013,0.17423994769532528
2012_Y.E. Yang,213,460,281,484,366,495,419,646,496,780,567,874,848,1433,204,441,3.27,30.32,18.28,22.48,10.47,20.3,112.73,61.06,284.9,1116.0,388,351,41.67,58.51,3.12,4.11,4.72,41.67,25.27,15.0,3.76,86.29,28.5,601,50.83,Y.E. Yang,2012,0.15469369766416924,2013,0.059496567505720827
2012_Zach Johnson,239,365,281,446,315,553,399,625,474,726,625,808,668,1179,200,314,3.79,32.0,21.69,24.1,14.85,22.98,107.57,68.53,281.1,153.8,372,2019,47.83,64.95,3.02,4.03,4.6,33.18,23.19,13.48,6.54,88.29,28.45,558,57.24,Zach Johnson,2012,0.8898193036579991,2013,0.37299771167048057
2012_Ángel Cabrera,272,214,296,427,328,485,424,518,530,646,604,753,906,912,216,259,3.13,26.84,18.11,19.26,20.42,17.39,119.08,57.02,299.7,138.9,399,177,71.43,63.33,3.14,4.13,4.66,27.78,10.77,6.78,3.68,86.62,29.72,465,46.38,Ángel Cabrera,2012,0.07800793301013663,2013,0.2700228832951945
2013_Aaron Baddeley,253,446,301,421,404,485,393,752,614,695,728,728,886,871,205,275,3.5,32.99,20.2,20.93,17.86,21.52,118.89,50.71,288.5,132.0,415,401,50.0,58.0,3.11,4.11,4.61,33.33,19.09,19.72,7.0,88.86,27.8,547,51.94,Aaron Baddeley,2013,0.13108859104282444,2014,0.20449264136328427
2013_Adam Scott,242,521,244,385,308,438,398,572,432,666,586,502,814,1150,178,257,3.75,29.21,21.2,23.3,19.33,15.0,119.63,61.84,297.8,270.0,370,1347,53.33,68.8,3.07,4.02,4.58,28.35,27.16,8.33,3.72,86.62,29.52,493,53.85,Adam Scott,2013,0.44033998038574695,2014,0.5728117738187452
2013_Andres Romero,271,327,283,402,335,560,446,625,526,845,627,1049,805,1249,234,318,3.71,32.26,21.09,21.23,18.59,24.73,114.93,57.35,293.1,212.4,404,430,60.0,61.3,3.05,4.08,4.69,29.05,18.6,17.46,4.09,86.77,28.58,590,56.45,Andres Romero,2013,0.14056881333769206,2014,0.19481022463206815
2013_Andrew Svoboda,272,403,292,495,345,583,427,584,509,755,648,966,769,1176,219,433,3.14,26.15,18.06,18.98,12.31,19.7,112.25,60.91,290.1,158.4,391,89,20.0,65.91,3.02,4.13,4.61,23.26,22.58,9.09,5.63,87.42,29.7,584,29.51,Andrew Svoboda,2013,0.029094475318731612,2014,0.25058094500387296
2013_Ben Crane,223,403,276,351,333,521,427,682,541,865,610,1164,1074,861,186,283,3.16,27.03,17.91,19.65,12.57,13.92,108.29,60.94,281.0,261.0,384,369,44.44,63.98,3.05,4.07,4.67,32.33,19.05,12.16,4.45,86.75,28.98,553,63.11,Ben Crane,2013,0.12062765609676365,2014,0.2997676219984508
2013_Bill Haas,237,339,280,401,339,433,394,686,463,730,616,1000,819,1223,193,298,3.42,27.65,19.44,22.15,13.55,21.0,114.86,62.31,288.2,216.0,381,1505,50.0,67.79,3.04,4.0,4.71,31.66,16.38,10.31,6.92,86.66,29.27,509,50.82,Bill Haas,2013,0.4919908466819222,2014,0.49109217660728116
2013_Billy Horschel,235,391,268,434,337,592,400,621,506,882,637,1020,833,1057,180,259,3.96,31.85,22.28,24.73,15.97,22.26,113.08,64.17,293.8,345.6,373,1487,59.09,67.48,3.08,4.03,4.62,38.26,21.95,14.16,4.27,86.82,29.14,542,53.07,Billy Horschel,2013,0.486106570774763,2014,0.2796281951975213
2013_Bo Van Pelt,231,356,277,443,311,463,415,618,521,517,550,555,691,1168,189,308,3.39,28.24,19.21,20.03,15.44,18.06,113.13,63.8,285.9,252.0,365,542,50.0,65.63,3.13,4.07,4.72,21.02,19.1,11.11,5.31,86.48,29.59,489,33.93,Bo Van Pelt,2013,0.17718208564890486,2014,0.20061967467079783
2013_Boo Weekley,220,323,252,410,337,469,374,585,471,928,616,990,696,990,205,328,3.5,27.87,20.06,22.5,10.8,18.09,114.39,66.36,290.9,163.6,361,1335,73.91,69.39,3.12,4.04,4.6,26.73,12.07,12.4,5.98,84.88,30.13,507,49.65,Boo Weekley,2013,0.4364171297809742,2014,0.19209914794732766
2013_Brad Fritsch,246,349,253,377,303,506,371,563,457,740,561,817,738,959,179,344,3.64,30.0,20.85,22.88,11.19,21.28,115.66,58.06,297.0,154.0,346,350,56.25,66.59,3.05,4.07,4.67,26.85,15.45,12.77,5.09,86.46,29.34,504,58.7,Brad Fritsch,2013,0.11441647597254005,2014,0.12470952749806352
2013_Brandt Snedeker,206,334,269,354,325,439,377,646,483,807,633,966,930,1339,155,229,3.97,32.8,22.57,25.58,13.78,22.27,110.59,62.57,281.3,203.1,357,2218,70.59,65.68,3.08,4.0,4.61,33.94,24.76,12.63,8.66,88.58,28.38,487,60.48,Brandt Snedeker,2013,0.7250735534488395,2014,0.3144848954298993
2013_Brendan Steele,270,371,270,378,329,550,427,539,517,921,628,642,723,515,188,319,3.43,28.29,19.38,21.21,10.33,17.43,114.43,61.56,290.7,295.2,377,574,52.94,65.99,3.09,4.06,4.67,31.94,10.0,10.34,5.22,88.45,29.49,527,53.17,Brendan Steele,2013,0.18764302059496568,2014,0.2823392718822618
2013_Brendon de Jonge,232,357,255,377,311,439,379,611,500,752,648,865,748,1110,179,291,3.63,28.33,20.61,22.2,12.59,21.32,115.95,66.28,286.3,220.0,364,769,60.0,68.84,3.01,4.02,4.59,29.03,20.38,8.8,3.58,87.42,29.1,513,53.9,Brendon de Jonge,2013,0.2513893429225237,2014,0.27769171185127806
2013_Brian Davis,211,332,281,405,321,568,415,582,490,806,662,1045,817,728,181,220,3.73,31.26,21.0,23.77,14.41,23.44,107.36,68.61,278.8,327.6,361,622,58.82,62.15,3.01,4.05,4.72,32.86,18.68,11.22,5.35,86.36,28.38,515,55.42,Brian Davis,2013,0.20333442301405688,2014,0.20681642137877615
2013_Brian Gay,207,342,258,436,340,527,433,571,528,766,650,832,778,1519,217,280,3.3,30.06,18.5,20.64,9.35,17.75,104.99,64.79,275.1,711.0,372,744,50.0,56.68,3.09,4.03,4.8,34.05,15.91,7.34,5.38,89.02,27.51,517,59.09,Brian Gay,2013,0.2432167374959137,2014,0.14523625096824166
2013_Brian Harman,248,377,271,360,361,486,419,689,555,804,616,873,931,835,211,249,3.35,28.14,19.08,20.6,11.22,20.0,110.83,60.64,287.5,218.6,394,578,33.33,62.61,3.08,4.05,4.74,27.5,19.11,10.71,5.0,88.01,28.54,493,45.14,Brian Harman,2013,0.18895063746322327,2014,0.5224632068164213
2013_Brian Stuard,242,333,260,388,321,562,408,670,462,851,587,833,867,1068,191,303,3.22,26.89,18.32,18.96,10.29,14.72,109.39,65.99,281.8,222.0,361,583,69.23,65.77,3.01,4.06,4.7,31.58,16.67,5.45,5.7,87.93,29.31,525,50.0,Brian Stuard,2013,0.19058515854854527,2014,0.3450813323005422
2013_Bryce Molder,217,391,272,394,332,458,387,649,524,804,648,1045,833,1347,162,250,3.71,31.26,20.97,22.71,12.39,16.67,108.06,65.95,273.8,288.0,361,504,64.71,63.68,3.01,4.03,4.64,34.15,19.15,18.52,5.52,88.14,28.4,545,54.81,Bryce Molder,2013,0.16475972540045766,2014,0.17621998450813323
2013_Bubba Watson,247,285,262,468,344,473,363,598,495,612,648,812,753,964,227,298,3.78,30.41,21.54,24.3,17.7,24.4,122.97,58.73,303.7,187.7,370,830,52.94,69.41,3.08,4.04,4.61,31.48,13.82,8.24,3.24,86.23,29.85,482,46.08,Bubba Watson,2013,0.2713305001634521,2014,0.8415956622773044
2013_Bud Cauley,223,331,245,454,285,538,378,578,482,754,749,682,805,1039,208,321,3.41,28.19,19.49,21.5,14.85,23.81,110.74,59.16,287.5,189.0,359,343,60.0,63.76,3.08,4.12,4.64,24.39,14.91,11.94,4.11,84.99,29.44,539,47.57,Bud Cauley,2013,0.11212814645308924,2014,0.13826491092176607
2013_Cameron Tringale,234,331,275,403,355,491,430,660,501,765,774,819,781,1060,221,317,3.43,27.73,19.51,20.12,15.99,19.72,115.78,62.89,287.2,205.7,395,654,56.25,67.01,3.03,4.05,4.62,27.89,20.0,13.59,4.52,86.64,29.09,538,61.47,Cameron Tringale,2013,0.2137953579601177,2014,0.3024786986831913
2013_Camilo Villegas,205,194,278,368,312,421,359,606,532,760,594,766,739,661,190,322,3.64,30.21,20.89,22.28,17.7,16.06,113.77,58.56,291.8,150.0,348,450,68.75,66.74,3.05,4.04,4.65,27.98,18.25,12.04,4.64,86.73,29.13,481,54.21,Camilo Villegas,2013,0.14710689767898005,2014,0.38807126258714175
2013_Carl Pettersson,241,360,281,434,345,500,386,555,505,729,684,898,921,1511,228,268,3.35,28.67,19.03,22.09,12.67,21.79,113.71,59.43,290.2,240.0,381,439,55.56,62.22,3.03,4.1,4.75,28.65,15.15,10.48,7.58,85.88,29.08,479,46.26,Carl Pettersson,2013,0.14351095129127167,2014,0.2517428350116189
2013_Chad Campbell,214,365,256,408,311,545,391,625,498,719,568,905,738,1303,171,278,3.22,26.32,18.57,21.08,12.81,17.79,113.29,60.7,288.9,152.0,359,330,53.85,67.03,3.04,4.08,4.61,26.63,16.43,8.93,5.62,86.57,29.58,530,48.65,Chad Campbell,2013,0.10787839163125204,2014,0.12277304415182029
2013_Charl Schwartzel,208,394,260,413,299,556,400,532,393,862,556,997,725,810,190,286,4.06,33.17,22.79,26.29,16.13,22.92,118.11,59.87,296.1,408.0,349,871,50.0,65.85,3.08,4.03,4.58,32.34,22.45,17.95,6.98,85.71,29.01,545,50.66,Charl Schwartzel,2013,0.2847335730630925,2014,0.3032532920216886
2013_Charles Howell III,233,358,291,412,366,463,444,644,487,659,682,802,780,706,198,273,3.67,30.32,20.98,23.3,16.72,17.77,117.32,53.11,294.8,170.0,398,996,55.56,66.73,3.02,3.99,4.66,31.58,27.63,12.61,5.96,87.85,28.66,495,52.38,Charles Howell III,2013,0.3255966001961425,2014,0.40356312935708755
2013_Charley Hoffman,235,400,280,405,320,500,380,567,478,1242,563,1117,730,1551,219,247,3.92,32.59,22.49,23.91,16.67,24.25,116.47,59.57,294.0,137.5,369,793,31.58,65.48,3.05,4.07,4.61,30.77,19.31,10.64,5.23,86.14,29.05,503,51.06,Charley Hoffman,2013,0.2592350441320693,2014,0.39736638264910923
2013_Charlie Beljan,242,384,308,500,343,446,425,737,461,639,654,832,750,900,206,317,3.34,27.92,18.91,19.86,15.35,18.0,124.45,59.86,295.4,279.0,387,459,42.86,64.61,3.16,4.09,4.73,27.74,13.73,12.5,3.88,86.19,29.98,531,47.42,Charlie Beljan,2013,0.15004903563255967,2014,0.15840433772269558
2013_Charlie Wi,225,402,278,438,322,523,431,722,547,834,672,1000,834,912,177,266,3.7,32.43,20.97,22.56,13.48,21.5,109.33,63.02,282.1,255.6,374,401,42.86,60.56,3.06,4.05,4.75,35.68,14.41,13.89,6.39,85.47,28.34,572,55.0,Charlie Wi,2013,0.13108859104282444,2014,0.12742060418280401
2013_Chris Kirk,205,362,221,379,291,492,385,682,495,728,670,858,701,941,177,265,3.85,32.35,22.35,24.93,15.99,26.67,112.55,59.65,289.0,106.8,344,904,55.0,65.92,3.0,3.99,4.69,32.63,25.3,10.94,7.19,87.54,28.26,523,49.23,Chris Kirk,2013,0.2955214122262177,2014,0.6084430673896204
